Cod;Nome;Fantasia;CNPJ;InscEstadual;A/C;CPF A/C;Endereco;Bairro;Cidade;Estado;CEP
127;EMBALATEC INDUSTRIAL LTDA;EMBALATEC INDUSTRIAL;69.020.915/0004-08;454.162.164.113;;;AV MELO FREIRE BORENSTEIN, 330;VILA SAO FRANCISCO;MOGI DAS CRUZES;SP;08735-270
130;ELGIN S/A ;ELGIN S/A;52.556.578/0001-22;454.030.240.112;;;AV VEREADOR DANTE JORDAO STOPA , 47;CESAR DE SOUZA;MOGI DAS CRUZES;SP;08820-390
157;PETROM PETROQUIMICA MOGI DAS CRUZES S/A;PETROM PETROQUIMICA;02.340.752/0001-27;454.003.590.119;;;RODOVIA PAULO ROLIN LOUREIRO,KM 09;VILA MORAES;MOGI DAS CRUZES;SP;08766-500
164;RINNAI BRASIL TECNOLOGIA DE AQUECIMENTO LTDA.;RINNAI BRASIL;47.173.950/0001-81;454.072.582.116;;;RUA TT ONOFRE RODRIGUES AGUIAR, 200;VILA INDUSTRIAL;MOGI DAS CRUZES;SP;08770-041
171;RECAPAGENS BUDINI LTDA;RECAPAGENS BUDINI;44.298.727/0001-72;454.036.034.110;;;AV FRANCISCO FERREIRA LOPES, 3719;BRAS CUBAS;MOGI DAS CRUZES;SP;08745-000
178;SILGAN DISPENSING SYSTEMS BRASIL INDUSTRIA DE EMBALAGENS LTDA;SILGAN DISPENSING;01.795.995/0006-00;150.921.680.110;;;AV VALENTINA DE MELO FREIRE BORESTEIN, 233;BRAS CUBAS;MOGI DAS CRUZES;SP;08735-270
180;PREFEITURA MUNICIPAL DE M DAS CRUZES;ASMMC - PREFEITURA;54.783.725/0001-22;ISENTO;;;AV JOAO XXIII, 500;SOCORRO;MOGI DAS CRUZES;SP;08700-000
181;RUD CORRENTES INDUSTRIAIS LTDA;RUD CORRENTES;89.519.706/0001-78;454.062.504.110;;;RUA RUD, 381;VILA BELA FLOR;MOGI DAS CRUZES;SP;08745-260
2000;INSTITUTO DE PREV.MUNC.DE MOGI DAS CRUZES ;IPREM;07.544.655/0001-70;ISENTO;;;AV. NARCISO YAGUE GUIMARAES 277;SHANGAI - CENTRO CIVICO;MOGI DAS CRUZES;SP;08780-000
2254;COOPERATIVA DOS PRODUTORES DE OVOS CPOVOS;CPOVOS;07.089.149/0001-38;454.294.200.110;;;AV ENGENHEIRO MIGUEL GEMMA, 4850;COCUERA;MOGI DAS CRUZES;SP;08780-680
2266;PEDREIRA SARGON LTDA;PEDREIRA SARGON;60.101.300/0001-99;616.018.656.113;;;AV AIRTON DOS S H GALVEZ, SN KM 05;RETIRO - SANTA ISABEL;SANTA ISABEL;SP;07500-000
2661;SWEET INDUSTRIA E COMERCIO PRODUCOES DE ALIMENTOS EXPORTACAO E IMPORTACAO LTDA;SWEET;51.365.658/0001-38;672.027.540.117;;;AV ANTONIO M FIGUEIRA 820;CENTRO;SUZANO;SP;08676-000
2662;FABRICA DE COLCHOES SAO JORGE LTDA;COLCHOES SAO JORGE;48.558.738/0001-03;546.002.400.115;;;RUA MARABA, 375;VILA MONTEIRO;POÁ;SP;08557-570
2733;SETEM SERVICOS PATRIMONIAIS LTDA;SETEM PATRIMONIAIS;05.066.912/0001-80;ISENTO;;;RUA CORONEL SOUZA FRANCO, 151;CENTRO;MOGI DAS CRUZES;SP;08710-500
2771;FERMAFLEX INDUSTRIA E COMERCIO DE ADITIVOS LTDA;FERMAFLEX;04.949.601/0001-04;379.154.786-114;;;AV INDUSTRIAL  463;PARQUE SAO PEDRO;ITAQUAQUECETUBA;SP;08586-150
3266;ICA INDUSTRIA E COMÉRCIO E LOGISTICA EIRELE;ICA IND E COM E LOG;11.310.764/0001-08;379.145.100.112;;;RUA DO COBRE, 450;CORREDOR;ITAQUAQUECETUBA;SP;08586-170
3801;METAL ALFA LTDA;METAL ALFA;06.262.571/0001-80;379.154.252.119;;;ESTRADA ADILIA BARBOSA NEVES 2215;PORTAO;ARUJÁ;SP;07411-350
3819;COMERCIAL ALIMENTOS CAETANO GUARAREMA;SUPERMERCADO MONTEIRO;10.454.303/0001-38;331.080.978.116;;;RUA CAPITAO ALBERTO AGUIAR WEISSOHN, 131;CENTRO;GUARAREMA;SP;08900-000
4001;COMERCIAL ALIMENTOS CAETANO GUARAREMA LTDA;SUP MONTEIRO FL 01;10.454.303/0002-19;331.081.005.110;;;RUA MARIA JOSE RAMOS LEITE 95;NOGUEIRA;GUARAREMA;SP;08900-000
4005;COMERCIAL ALIMENTOS CAETANO GUARAREMA LTDA;SUP MONTEIRO FL 03;10.454.303/0004-80;331.081.097.119;;;AV. DR. ADHEMAR DE BARROS ,441;CENTRO;GUARAREMA;SP;08900-000
4279;ZINNI & GUELL LTDAS ;ZINNI & GUELL;61.603.288/0001-83;336.390.405.113;;;ESTRADA  ÁGUA CHATA 1233;PARQUE MARIA HELENA;GUARULHOS;SP;07251-000
4487;INDUSTRIA DE CONSERVAS LUCA;IND DE CONSERVAS LUCA;44.288.975/0001-32;454027454116;;;EST MUNICIPAL KM 10 CX POSTAL 386;CEZAR DE SOUZA;MOGI DAS CRUZES;SP;08710-971
4706;TRANSPOGLASS TRANSP. RODOVIARIOS LTDA ;TRANSPOGLASS;10.979.731/0001-84;454353146117;;;AVENIDA ANTÔNIO DE ALMEIDA,1111 SL 03;JARDIM MARICA;MOGI DAS CRUZES;SP;08775-420
4747;ESTANCIA VALE VERDE LTDA EPP;ESTANCIA VALE VERDE;60.283.322/0001-17;331009146110;;;R DR JOAO OSORIO SILVEIRA MARTINS 180;JS SAO JOAO;GUARAREMA;SP;08900-000
4800;CORDEIRO CABOS ELETRICOS SA ;CORDEIRO;14.197.209/0001-00;305.052.767.119;;;RUA ILJIMA 1036;VILA SANTO ANTONIO;FERRAZ DE VASCONCELOS;SP;08534-000
4804;INSTITUICAO ASSISTENCIAL CRISTA LAR MAE MARIANA ;LAR MAE MARIANA;43.870.179/0001-40;ISENTO;;;RUA MONTE CASTELO 116;BIRITIBA;POÁ;SP;08562-460
4864;NUCLEO EDUCACIONAL RAIZES ITAPETI S/C LTDA;COLEGIO RAIZES;51.373.850/0001-76;ISENTO;;;ESTRADA CRUZ DO SECULO S/N;JARDIM MARICA;MOGI DAS CRUZES;SP;08775-020
5109;RGR CONEXOES IND E COM LTDA ;RGR CONEXOES;59.233.098/0001-70;ISENTO;;;RUA LICATEM 275;JARDIM FAZENDA RINCAO;ARUJÁ;SP;07400-000
5113;METALURGICA FUNDTEC LTDA;FUNDTEC;05.845.990/0001-82;336724251118;;;RUA NORALDINO ALVES DE LIMA 41;GRANJA ELIANA;GUARULHOS;SP;07251-170
5165;KOMATSU DO BRASIL LTDA;KOMATSU - SUZANO;44.410.199/0001-00;672.014.981.114;;;RODOVIA INDIO TIBIRICA, 2000;SUZANO;SUZANO;SP;08655-000
5242;CARBOGAS LTDA.;CARBOGAS;51.128.197/0001-80;442051380117;;;AVENIDA GUARACIABA, 659;SETAOZINHO;MAUÁ;SP;09370-840
5277;MEGACABOS IND E COM DE CABOS ESPECIAIS LTDA;MEGATRON;07.642.862/0001-67;5963869430052;;;RUA LUIZ GONZAGA DE REZENDE, 175;BEIRA RIO;CACHOEIRA DE MINAS;MG;37545-000
5320;ITAQUAREIA IND EXTRATIVA DE MINERIOS LTDA;ITAQUAREIA NV ITAQUA;55.023.386/0001-49;379.001.410.110;;;AV VEREADOR ALMIR DIAS DE OLIVEIRA, 1112;JD NOVA ITAQUA;ITAQUAQUECETUBA;SP;08599-315
5322;ITAQUAREIA IND EXTRATIVA DE MINERIOS LTDA;ITAQUAREIA ST ANGELO;55.023.386/0003-00;454.071.140.112;;;ESTRADA OBARA, S/N;SANTO ANGELO;MOGI DAS CRUZES;SP;08774-350
5327;MINERADORA PONTE ALTA LTDA;MINER. PONTE ALTA - MC;00.478.237/0001-82;454470834117;;;ESTRADA MUNICIPAL SAO BENTO LAMBARI S/N KM 18,5;TABOAO;MOGI DAS CRUZES;SP;08770-490
5374;INDUSTRIA METALURGICA MAX DEL LTDA;MAX DEL;49.533.078/0001-60;442024310112;;;RUA LUCIA MORMITO BIASON, 204;SERTAOZINHO;MAUÁ;SP;09370-835
5624;ACZ INOX COMERCIAL LTDA;ACZ INOX;69.184.778/0001-02;286309318111;;;RUA SITHA,211;JD INAMAR;DIADEMA;SP;09981-070
5676;COMERCIAL IBIACU DE EMPREENDIMENTOS LTDA;COMERCIAL IBICU;50.214.014/0001-86;ISENTO;;;AVENIDA UBERABA 1242;VILA VIRGINIA;ITAQUAQUECETUBA;SP;08573-070
5785;RESIPLASTIC INDUSTRIA E COMERCIO LTDA;RESIPLASTIC;57.159.923/0001-08;442098953110;;;AVENIDA DR JALLES MARTINS SALGUEIRO 364;SERTAOZINHO;MAUÁ;SP;09372-000
5899;WASCO INDUSTRIA E COMERCIO LTDA;WASCO INDUSTRIA;01.859.648/0002-61;379123445118;;;RUA FLOR DE NOIVA 800;QUINTA DA BOA VISTA;ITAQUAQUECETUBA;SP;08597-630
5968;WASCO INDUSTRIA E COMERCIO LTDA;WASCO IND - COMBUSTIVEL;01.859.648/0002-61;379.123.445.118;;;RUA FLOR DE NOIVA 800;QUINTA DA BOA VISTA;ITAQUAQUECETUBA;SP;08597-630
6521;GUANAPACK - INDUSTRIA DE EMBALAGENS PLASTICAS LTDA;GUANAPACK;11.790.941/0006-05;001.457.003.00-17;;;AVENIDA NICOLAU CESARINO,5100;TENENTES;EXTREMA;MG;37645-002
6575;PLASTOLANDIA HIDRAULICA E PLASTICOS INDUSTRIAIS LTDA;PLASTOLANDIA;43.235.522/0001-85;111.334.839.110;;;RUA VERGUEIRO, 8686;MOINHO VELHO;SÃO PAULO;SP;04272-300
6586;MELFEX INDUSTRIA E COMERCIO DE MATERIAIS ELETRICOS LTDA;MELFEX;06.746.643/0001-65;286.255.732.113;;;RUA MINAS GERAIS, 323;VILA ORIENTAL;DIADEMA;SP;09941-760
6654;AL INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO DE ACESSORIOS PARA VIDRO ALUMINIO E MATERIAIS DE CONSTRUCAO LTDA ME;AL INDUSTRIA;09.406.784/0001-27;442.145.065.116;;;RUA JURACI ALETTO, 224 GALPAO B;SERTAOZINHO;MAUÁ;SP;09370-813
6659;SULTAN INDUSTRIA E COMERCIO ARTEFATOS TEXTEIS LTDA;SULTAN;60.869.468/0003-00;379.166.872.110;;;RUA ARACABUBA, 215;VILA BARTIRA;ITAQUAQUECETUBA;SP;08577-250
6724;AUTO POSTO SAN CARLO LTDA;AP SAN CARLO;65.544.413/0001-82;379.034.530.116;;;ESTRADA DE SANTA ISABEL, 3883;VILA SÃO CARLOS;ITAQUAQUECETUBA;SP;08599-515
6788;ALFA ENERGIA LTDA EPP;ALFA ENERGIA;23.924.847/0001-68;379.252.964.114;;;ESTRADA ADÍLIA BARBOSA NEVES, 2215;CIDADE NOVA ARUJÁ;ARUJÁ;SP;07411-350
6938;ALTO TIETE TRANSPORTES LTDA;ALTO TIETE TRANSPORTES;28.124.704/0001-95;454.537.939.114;;321.745.458-88;RUA ADOLFO LUTZ,590;CÉZAR DE SOUZA;MOGI DAS CRUZES;SP;08810-380
6940;MINERADORA PONTE ALTA LTDA;MIN PONTE ALTA FL 3;00.478.237/0003-44;454.556.428.117;;;AVENIDA VEREADOR ALMIRO DIAS DE OLIVEIRA, 1112;JARDIM NOVA ITAQUÁ;ITAQUAQUECETUBA;SP;08599-315
7406;AUTO POSTO MACHICO LTDA;POSTO MACHICO;12.921.818/0001-26;379071950117;;;ESTRADA DO BONSUCESSO,777;RIO ABAIXO;ITAQUAQUECETUBA;SP;08579-000
7444;CASTOR FERRAMENTAS PARA PINTURAS LTDA;CASTOR FERRAMENTAS;12.580.468/0001-81;ISENTO;;;RUA ÁLVARES CABRAL,1049;SERRARIA;DIADEMA;SP;09980-160
7529;INSTITUTO MARIA MAE DO DIVINO AMOR;DIVINO AMOR;58.474.719/0001-44;Isento;;;RUA ANTÔNIO FERNANDES,90;VILA RESSACA;MOGI DAS CRUZES;SP;08715-540
7582;D A BRASIL COMERCIO DE ALCOOL EIRELI;D A BRASIL;09.579.592/0001-12;143997090117;;272.438.658-28;RUA SANTANA DE IPANEMA,1155;CIDADE INDUSTRIAL SATÉLITE DE SÃO PAULO;GUARULHOS;SP;07220-010
7620;SUSTENPACK EMBALAGENS SUSTENTAVEIS IMPORTAÇÃO E EXPORTAÇÃO LTDA;SUSTENPACK;33.709.396/0001-08;675366132112;;;RUA JOÃO JOSÉ DOS REIS,59;JARDIM SAINT MORITZ;TABOÃO DA SERRA;SP;06787-600
7710;NAUTILUS EQUIPAMENTOS INDUSTRIAIS LTDA;NAUTILUS;53.476.057/0001-28;35202875741;;;ESTR. MUNICIPAL PREF. GERALDO RAMOS GONCALVES,236;TANQUE PRETO;NAZARÉ PAULISTA;SP;12960-000
7863;LAR DOS VELHINHOS SAO VICENTE DE PAULO;LAR DOS VELHINHOS;51.362.549/0001-67;ISENTO;;;RUA SAO VICENTE DE PAULO,50;CENTRO;GUARAREMA;SP;08900-000
8010;DUPPS DO BRASIL INDUSTRIA E COMERCIO LTDA;DUPPS DO BRASIL;11.503.151/0001-89;442366415112;;329.264.408-98;RUA ROSA KASINSKI,621;CAPUAVA;MAUÁ;SP;09380-128
8087;THINK TECHNOLOGY INDUSTRIA E COMERCIO DE PRODUTOS TELECOMUNICACAOES LTDA;THINK TECHNOLOGY;03.916.592/0001-84;0201357850006;;;AV SAPUCAI,269;JARDIM DAS PALMEIRAS;SANTA RITA DO SAPUCAÍ;MG;37540-000
8132;ITAQUAREIA AMBIAENTAL LTDA;ITAQUAREIA AMBIENTAL;21.544.546/0001-83;ISENTO;;296.184.678-13;AVENIDA VEREADOR ALMIRO DIAS DE OLIVEIRA.1112;JARDIM NOVA ITAQUÁ;ITAQUAQUECETUBA;SP;08599-315
8137;FABRICA AURICCHIO INDUSTRIA E COMERCIO DE METAIS LTDA;AURICCHIO;04.625.459/0001-31;454310456110;;452.156.018-01;ESTRADA MUNICIPAL NAKAMURA,1501;TABOAO;MOGI DAS CRUZES;SP;08774-350
8723;COMERCIAL INDUSTRIAL MAXRODI LTDA;MAXRODI;06.890.491/0001-70;672612675114;;;RUA ERNESTO JOAQUIM DE SOUZA,550;CHÁCARA PRIMAVERA;SUZANO;SP;08655-805
